id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id,dev_id,application_id,battery
44,Test2,-8.5,-92.6,36000,t,2024-03-17 10:07:11.338,11,866100000,7,13,36,4/5,125000,10,1,123456,Oyxj,38427,,
45,Test2,-11.4,-84.6,36000,t,2024-03-17 10:07:16.345,7,866100000,7,13,36,4/5,125000,6,1,123456,Chxx,38428,,
46,Test2,0.3,-86.3,36000,t,2024-03-17 10:07:21.871,10,866100000,7,13,36,4/5,125000,9,1,123456,sNKE,38429,,
47,Test2,-18.1,-85.5,36000,t,2024-03-17 10:09:06.503,10,866100000,7,13,36,4/5,125000,9,1,123456,iMT8,38430,,
48,Test2,8.5,-93.3,36000,t,2024-03-17 10:09:11.507,12,866100000,7,13,36,4/5,125000,11,1,123456,Oyxj,38431,,
49,Test2,-10.8,-85.2,36000,t,2024-03-17 10:09:16.513,8,866100000,7,13,36,4/5,125000,7,1,123456,Chxx,38432,,
50,Test2,-7.7,-87.2,36000,t,2024-03-17 10:09:22.029,11,866100000,7,13,36,4/5,125000,10,1,123456,sNKE,38433,,
51,Test2,-7.5,-83.1,36000,t,2024-03-17 10:11:06.13,11,866900000,12,15,803,4/5,125000,10,1,123456,iMT8,38434,,
52,Test2,-10.2,-93.9,36000,t,2024-03-17 10:11:11.652,13,866100000,7,13,36,4/5,125000,12,1,123456,Oyxj,38435,,
53,Test2,-18.3,-85.8,36000,t,2024-03-17 10:11:16.651,9,866100000,7,13,36,4/5,125000,8,1,123456,Chxx,38436,,
